GarageArea,GrLivArea,OverallQual,YearBuilt
774,1828,9,2007
308,894,5,1962
432,964,5,1921
857,1689,8,2002
843,1541,7,2001
400,1221,7,2004
440,1324,6,1965
484,1416,7,1999
297,988,4,1973
440,1218,6,1941
397,1656,7,2003
460,1362,6,2005
442,1839,6,1966
451,1375,6,1954
528,1122,5,1948
588,1432,5,1978
400,1456,7,2007
497,1217,7,1990
625,1040,5,1950
528,1224,6,2009
468,1774,7,1931
384,1367,5,1900
297,1360,5,1938
420,848,6,2004
749,2262,8,2003
396,1220,4,1951
398,1414,7,2004
396,2058,6,1917
0,1198,6,1920
499,1659,8,2000
308,1012,6,1920
672,3082,7,1920
672,1812,5,1900
650,1929,7,2001
576,954,5,1976
765,1838,9,2006
924,1640,6,1954
672,1148,5,1959
280,950,5,1971
471,1911,8,1993
440,1635,6,1923
440,1316,7,2007
615,1442,6,1970
500,1078,5,1971
544,1120,4,1961
527,1419,8,2002
240,1389,7,1946
280,1063,5,1954
874,1792,9,2003
402,1216,6,1998
576,1762,7,1920
434,1959,7,2004
546,1208,6,1977
315,1524,5,1958
240,1154,4,1922
420,1048,5,1950
273,886,5,1938
600,943,5,1979
603,1768,7,2005
779,2599,9,1999
275,912,5,1958
308,882,5,1956
511,1337,6,1998
850,2076,10,2006
752,2531,8,1995
240,1768,5,1937
538,1625,8,2006
389,2144,6,1958
880,2775,10,1893
477,1868,6,1984
541,1525,7,2000
722,1571,8,2007
0,796,5,1910
432,2372,5,1892
402,1472,7,1991
364,960,4,1965
372,1838,5,2005
484,1309,6,1974
694,2643,9,2006
200,1131,5,1941
400,1960,5,1952
336,1144,5,1963
576,1056,6,1980
0,693,4,1941
576,1494,6,1997
482,1646,8,2004
352,864,5,1972
750,1566,8,2008
497,1395,6,1972
539,1208,4,1925
180,1513,5,1920
560,1367,6,1931
386,955,5,1966
210,1077,3,1922
572,1056,5,1955
615,1553,7,2005
865,1614,7,2005
1390,2042,8,2008
326,1073,5,1921
240,1285,5,1948
550,2117,6,1970
0,605,4,1920
300,1150,5,1959
400,1456,6,2005
588,999,7,1961
564,1500,6,2005
375,1336,5,1953
398,1593,6,2004
836,2184,9,2008
573,1560,7,2003
312,1644,5,1942
286,630,4,1970
504,1113,6,1976
947,2172,7,2006
384,1346,4,1910
550,2610,8,2007
936,1958,7,2005
898,1468,8,2008
539,1734,5,1977
240,1200,5,1946
438,1550,7,2006
440,2230,4,1912
240,1639,6,1936
624,864,5,1958
440,1621,7,1984
264,987,6,1972
628,2519,7,1989
440,1365,5,1970
779,2290,8,2002
840,2596,9,2006
352,907,4,1957
440,1456,6,1976
540,1190,5,1962
684,858,4,1971
516,2223,7,1973
672,1005,4,1955
409,1895,7,1994
384,1040,5,1965
461,1264,5,1960
578,1761,7,2007
888,1034,6,1976
439,1363,7,1954
480,1689,6,1956
839,2113,8,1995
544,1573,7,2002
820,2364,9,2009
645,2034,7,1997
431,1291,6,1996
0,858,5,1958
280,1258,6,1939
246,438,2,1920
440,1400,6,1978
240,954,5,1938
645,1445,6,1964
525,1072,6,2005
0,1664,5,1965
441,2134,6,1916
380,3194,8,1934
0,1824,6,1971
422,1756,6,1996
576,912,5,1965
600,1509,6,1988
216,1608,6,1925
397,1316,6,2005
450,1015,5,1925
240,1134,5,1940
865,1636,8,2006
400,1320,7,2003
538,2126,5,1967
525,1128,5,1963
756,1306,5,1957
0,1344,4,1970
704,2554,7,1890
576,893,5,1949
668,1933,6,2007
264,1218,6,1973
534,1969,7,1977
556,2090,8,1995
487,1484,5,1971
506,1656,5,1973
210,1224,6,1926
390,2054,6,2000
576,854,7,1929
286,1092,4,1973
252,1268,5,1977
550,1661,7,1996
502,1668,8,2003
508,1493,6,1997
306,932,6,1950
526,1277,7,1970
630,1530,7,2004
484,1344,5,1958
528,860,5,1982
626,1314,7,2007
868,1962,7,2006
388,1490,7,2004
420,848,6,2004
240,672,5,1940
252,2340,7,1941
180,1656,5,1916
484,1479,7,1972
740,1226,7,2009
444,2087,6,1966
576,1158,6,2004
480,1154,5,1966
527,1724,7,1998
431,1658,6,1995
520,1126,4,1949
300,1393,5,1955
1014,3447,8,1935
264,987,6,1973
0,1355,5,1940
505,2069,7,1960
440,1501,7,1999
908,1976,8,2006
758,1563,8,2007
288,1111,7,1926
270,1502,7,1931
452,1733,3,1955
706,2728,9,2005
264,1302,5,1972
586,1524,7,1979
680,1588,4,1959
430,1125,5,2006
480,1200,7,2005
520,1640,6,2004
525,2127,7,1994
240,972,6,1948
466,2020,8,1995
596,1144,5,1956
288,1352,5,1958
484,1316,5,1929
592,1924,8,1998
240,1164,5,1950
840,952,5,1951
0,2358,8,1872
540,1680,6,1988
672,1912,6,1905
480,1004,6,1970
305,1230,4,1946
495,1167,5,1920
440,1301,5,1924
445,1453,7,1986
670,1601,8,2001
825,1588,8,2006
264,1095,6,1958
368,1050,5,1961
432,960,4,1965
280,1456,5,1948
462,1489,6,1968
786,1726,7,2007
484,2082,7,2003
484,1339,7,1990
1069,2450,8,1998
660,1863,7,2006
396,768,5,1972
0,334,1,1946
384,1136,6,1965
405,1337,6,1998
288,912,5,1964
264,1812,5,1962
240,2192,5,1939
0,1184,5,1910
308,1889,7,1910
624,1327,5,1959
576,1422,6,1981
576,1632,5,1967
451,1630,7,2000
0,1526,3,1915
420,1040,4,1949
216,1647,6,1915
576,1981,4,1928
418,1644,6,1953
868,2574,8,2007
520,1824,6,1919
520,1350,6,1964
440,958,6,1976
370,1848,6,1923
490,1620,4,1976
400,1167,6,1992
220,1487,6,1945
288,892,5,1967
240,804,5,1940
0,1140,5,2006
483,1796,6,1963
551,2030,6,1976
812,2007,10,2008
216,691,5,1920
676,1590,8,2008
325,1855,6,1954
442,1804,7,1999
543,1768,7,2003
807,3627,10,1995
403,1298,6,1985
484,1801,7,1959
0,630,5,1970
440,1103,6,1925
384,1178,4,1900
440,1196,4,1916
529,1372,7,2007
296,1431,6,1962
626,1422,7,2004
501,1953,6,1992
440,1121,4,2003
852,2473,8,2004
576,1057,5,1962
602,1110,5,1978
671,2270,8,1999
746,2018,9,2008
440,1386,6,1978
1043,1953,8,2005
462,1337,8,1993
648,2285,8,2000
826,1718,8,2007
484,1086,5,1966
660,1555,7,2007
567,1902,7,1959
693,2514,7,1990
528,1224,5,1979
460,1054,6,1969
676,2612,8,1998
288,902,5,1967
484,2353,7,1980
299,1392,6,1977
576,1155,5,1961
240,1904,5,1950
208,1158,6,1929
502,1362,6,1920
429,2291,7,1999
250,1317,4,1920
928,1734,8,2007
312,1194,6,1959
720,1416,5,1915
354,1383,5,1954
871,2002,5,1949
474,1496,8,2007
660,1604,5,1941
504,764,5,1925
476,1732,6,1985
840,1494,7,2006
180,986,6,1926
397,1145,7,2005
0,1484,6,1914
525,1344,6,1958
686,1539,5,1904
656,2504,9,2005
528,747,4,1926
583,2097,7,1998
884,4676,10,2007
624,1176,6,1937
0,720,4,1920
830,1580,8,2007
0,1440,4,1977
540,1476,6,2005
570,1500,7,2004
216,1348,5,1925
884,1200,5,1965
514,1394,6,1963
484,1632,6,1966
336,912,5,1967
864,2624,6,1918
349,1696,5,1962
440,1230,5,1910
440,2727,8,1932
429,1456,6,2006
660,864,4,1970
380,1709,6,2004
528,1665,8,2001
656,2646,7,1993
595,1640,7,2003
420,1699,3,1900
529,1663,4,1954
504,1728,5,1963
462,1845,6,1992
440,1851,6,1964
776,1489,8,2006
300,864,6,1959
276,1256,5,1965
816,816,5,1982
492,1820,7,1965
833,2127,7,1991
461,1065,5,1960
312,1200,6,1923
632,1208,7,2006
642,2482,8,2005
527,1720,7,1996
0,840,5,1930
496,1294,6,1991
450,1090,5,2005
420,2263,8,1998
440,969,5,1975
1248,894,3,1935
360,1028,5,1927
492,1958,6,1946
895,1795,8,2006
606,1940,9,2009
439,1178,5,1973
400,1482,6,1925
554,1428,7,2008
338,864,5,1972
200,1111,5,1941
420,1470,6,1993
440,1116,6,1962
288,864,6,1959
498,1297,5,1954
264,1113,5,1950
577,1501,7,1999
614,1547,7,2009
678,1947,7,2004
908,1717,8,2006
440,1052,6,1971
455,2013,7,1996
388,1266,7,2007
716,2868,9,2005
554,2256,7,2000
494,1414,7,2004
471,1721,6,1994
434,1552,6,1975
528,1128,4,1920
358,1118,6,1977
574,1728,6,1976
711,2448,8,1994
452,1473,5,1968
400,1717,7,1990
400,1166,7,2005
484,1370,8,2006
480,1724,6,1967
380,1709,7,2004
264,987,6,1971
216,1802,7,1920
360,2345,6,1932
264,1068,6,1963
533,1617,6,1993
336,1244,6,1957
252,1180,4,1922
480,1223,7,2005
612,1686,6,1980
800,1646,8,2007
264,1144,5,1961
639,1797,7,2006
462,1224,4,1962
839,1865,7,2000
308,1056,5,1958
820,3140,9,2008
492,1212,6,1977
636,1694,8,2004
413,1511,6,1997
246,1057,5,1953
560,2290,4,1885
786,2183,7,1988
594,3222,7,1990
512,1716,7,1996
457,1342,6,1967
437,1504,7,2005
648,1992,8,2003
462,1252,7,1999
264,999,5,1962
528,1363,4,1910
490,1165,6,1966
702,1668,9,2002
853,2376,8,2005
352,1440,5,1900
388,1470,6,1997
532,1541,7,2005
0,1440,4,1955
438,1146,7,2003
481,1494,8,1995
738,2224,9,2004
186,1343,5,1921
683,2452,8,1998
540,1977,6,1964
504,1767,7,1987
550,1324,8,2006
330,1458,6,1948
440,1314,6,2006
529,1575,6,1992
912,1620,9,2007
304,1788,4,1957
240,913,6,1966
500,2073,6,1978
492,1441,8,1999
225,1690,7,1916
576,1437,5,1956
508,2156,7,1968
0,864,5,1925
336,1112,5,1976
746,2243,7,1990
210,1328,4,1925
216,968,4,1927
384,1396,6,1915
834,1856,9,2010
789,2161,8,2007
529,1602,6,1977
280,1302,5,1971
393,1509,6,2002
352,912,5,1962
420,1664,6,1947
576,1694,6,1925
220,747,4,1945
420,1040,4,1950
493,1660,7,2002
308,1691,5,1924
720,864,5,1950
264,752,6,1984
564,1792,7,2001
474,1626,7,2003
472,1484,8,2006
870,3493,7,1880
840,1652,9,2006
350,1276,5,1958
271,1668,6,1950
0,1192,4,1949
504,884,5,1983
454,2062,7,1988
392,827,5,1955
532,2019,7,1910
336,1304,5,1976
216,1368,6,1910
379,1605,3,1915
900,2020,10,2009
528,1250,7,2006
757,1624,8,1994
360,845,4,1982
418,1389,5,1974
480,968,5,1923
286,1092,4,1970
420,848,6,2003
308,1269,5,1960
288,1092,5,1962
539,2263,7,1977
283,952,4,1956
0,1452,4,1920
504,1039,5,1965
412,1204,6,1998
672,1117,6,1976
701,2196,7,1990
328,985,5,1977
880,1629,8,2003
216,1477,7,1928
484,980,5,1977
590,2295,7,1992
180,1502,6,1923
432,2201,6,1966
836,2078,8,2007
0,800,2,1936
840,1578,8,2008
774,1932,8,2008
404,1507,5,1960
280,900,5,1967
786,1718,10,2006
240,1750,5,1880
834,2398,7,1996
680,1968,8,2009
532,1536,7,2002
200,864,3,1914
546,3228,8,1992
670,2149,7,2003
864,2640,7,1880
530,1682,7,1970
878,2098,8,2005
360,864,5,1965
530,1968,5,1969
480,1097,6,1984
528,1196,6,1920
451,1920,5,1958
576,1728,5,1965
577,2031,8,2002
297,1196,6,1956
360,803,5,1941
462,1620,5,1969
1134,2097,8,2005
617,1869,9,2007
431,1886,7,1998
308,480,2,1949
516,1296,4,1967
288,816,4,1938
478,1601,7,1978
451,1792,6,2000
796,2520,8,1993
796,1144,5,1959
621,2601,5,1921
312,1577,6,1939
624,970,5,1963
513,2036,7,1965
440,1026,6,1969
0,698,5,1947
576,1533,7,1975
660,1382,5,1941
530,1391,7,2004
240,1078,5,1950
471,1296,8,2001
301,1442,6,1958
0,1964,5,1911
644,1502,7,2009
458,1392,6,1957
0,1768,4,1968
390,1582,5,1964
301,958,6,1960
600,894,5,1972
402,1224,6,1999
846,2332,10,2007
430,1269,8,2004
712,1776,8,2006
390,1456,6,2005
539,1194,6,1959
240,1008,5,1953
430,1555,7,2005
180,1784,5,1914
280,1108,7,1930
400,1394,5,2006
496,1714,7,1988
294,882,5,1959
0,1306,3,1940
288,1217,6,1980
299,990,5,1994
691,2452,8,2004
420,848,6,2003
300,1369,6,1925
676,1218,6,2009
672,2555,6,1922
550,1247,8,2005
619,2872,6,1977
482,1652,8,2008
546,1844,6,1977
689,1971,7,2005
463,1800,6,2000
574,1949,7,1993
0,630,4,1972
530,1494,7,2002
0,968,3,1910
508,1274,7,2005
364,1520,6,1955
528,1285,6,1977
393,1509,7,2003
550,1935,7,1976
0,816,6,1990
555,1200,7,2003
548,1470,4,1954
528,1656,6,1960
240,792,5,1924
818,1694,8,2007
765,1800,8,2002
560,2337,5,1900
315,1846,6,1949
576,1026,6,1978
408,904,5,1966
484,1126,5,1977
872,2468,8,2004
540,988,6,1969
288,1052,5,1968
0,1096,6,1924
484,1141,6,2005
484,1790,6,1972
660,1852,8,1999
0,754,6,1935
513,1344,5,1916
576,2207,7,1970
360,2358,6,1908
831,2715,8,1976
484,1364,7,2005
402,1253,7,1995
528,1328,6,1963
286,1422,5,1960
486,1986,7,1965
192,952,6,1916
500,1660,8,2006
1166,2234,9,2008
160,790,6,1930
396,1340,7,2007
480,1610,6,1977
600,2620,5,1977
438,1248,7,2005
288,912,6,1961
472,1638,6,1998
1356,1622,4,1961
180,2320,6,1945
456,1144,5,1961
281,1520,5,1932
472,1516,6,1964
675,1498,7,2006
560,1961,6,2001
440,1456,7,2006
349,2403,7,1940
708,1944,9,2003
474,1368,7,2005
588,1790,7,1999
858,2713,9,2008
312,1271,5,1948
604,1872,7,1988
577,2090,7,1984
546,1796,6,1998
436,1302,7,2007
542,2524,8,1981
338,1374,4,1920
474,1626,7,2003
240,1034,5,1940
588,1518,8,2003
240,1818,7,1931
598,1661,7,1998
432,1991,6,1932
324,1482,7,1920
564,1742,8,1985
280,1250,5,1918
528,1176,6,1934
506,1915,8,1992
240,1595,6,1940
377,1661,6,1955
552,1935,8,2009
534,1795,8,2002
434,1928,7,2003
336,1159,5,1968
440,1456,6,1978
431,1954,7,1939
880,2028,8,2005
665,2898,8,1976
663,1674,7,2000
0,974,5,1991
586,1989,8,2002
678,2097,7,1993
500,1442,7,1990
720,1130,5,1920
240,1820,7,1925
583,2119,6,1972
666,2576,8,2006
0,1020,5,1875
779,1774,4,1900
0,904,1,1922
490,1382,7,2000
840,3608,10,1892
205,2210,6,1880
373,1572,6,1995
739,1824,7,1971
304,1056,5,1968
392,1221,5,1924
504,1362,6,1961
420,848,6,2004
527,1434,7,2001
628,1208,7,2007
566,1466,5,1936
691,1987,8,1994
983,2418,7,1993
626,1314,7,2007
380,1709,7,2004
0,1218,6,1971
0,3395,6,1914
0,1200,5,1987
297,912,5,1958
832,4316,10,1994
548,1710,7,2003
656,2374,8,2003
234,1564,7,1941
528,1466,5,1959
292,1383,6,1960
410,1535,5,1979
576,990,5,1995
240,1646,7,1941
440,1928,6,1910
550,1725,7,1979
541,2872,8,1992
576,2112,6,1969
240,1324,4,1936
480,1200,7,2005
468,1344,5,1920
500,1668,7,2003
400,1040,3,1950
576,900,5,1951
812,1559,5,1948
248,948,4,1954
264,923,6,1980
782,1552,7,2005
642,1717,7,1915
440,1721,5,1968
264,987,6,1973
521,1200,6,1995
281,1716,5,1949
336,894,5,1965
336,1771,5,1960
528,1173,7,1974
576,1287,5,1959
459,1382,4,1963
721,2520,7,1995
297,1215,6,1958
844,2526,8,1994
480,1200,7,2004
560,1728,5,1976
480,1710,7,1921
870,2392,8,1997
457,1744,7,1993
562,1665,7,2007
792,2696,7,2007
528,864,4,1971
234,672,4,1941
564,1320,5,1966
440,958,6,1976
550,1710,7,2004
502,1265,5,1965
400,1456,8,2003
576,1539,5,1936
766,1959,7,1988
0,1522,5,1926
0,1124,5,1954
484,2090,7,1973
461,1214,5,1965
454,1779,5,1955
808,1629,8,2002
627,1554,8,2006
642,2236,7,1997
0,796,4,1922
308,1680,6,1915
420,848,6,2003
528,1142,5,1976
564,1252,6,1960
564,1684,9,2005
888,2000,8,2004
834,1616,7,2005
531,1872,8,2001
225,1576,5,1928
575,1982,7,1989
276,988,5,1950
620,1844,8,2005
528,1258,6,1971
500,1288,8,1996
866,1634,8,2006
440,1322,6,1974
403,1414,8,2004
478,1504,7,1996
690,1670,7,2006
518,2167,7,1974
440,1069,6,1977
525,1072,6,2005
995,1572,5,1963
456,1869,5,1890
0,882,4,1956
676,1922,9,2005
352,780,5,1972
300,1601,5,1958
430,1530,7,2005
0,833,5,1985
308,1183,3,1948
260,1040,5,1962
1052,2828,8,2006
288,1252,6,1950
305,1246,5,1959
180,904,6,1926
416,1652,5,1915
288,1268,5,1949
342,1913,6,1928
484,1358,7,2009
484,1657,6,1970
275,838,6,1918
390,2060,7,1999
474,1626,7,2003
299,1352,6,1969
240,1376,5,1941
240,1660,6,1934
432,1412,6,2006
216,1469,6,1906
400,1430,7,2000
495,1094,6,1953
758,1826,8,2005
576,924,5,1949
528,1502,8,1985
603,1688,6,1997
572,1262,6,2006
788,1905,9,2006
541,2031,7,1998
478,1350,6,1974
613,1829,7,2003
300,965,5,1965
280,924,4,1941
905,2263,8,2001
540,2108,6,1935
528,1242,7,1973
240,1573,4,1935
434,2035,7,2001
516,1232,6,1984
483,1964,7,1976
0,1140,4,1910
450,894,5,1967
619,2654,6,1968
396,768,5,1972
0,912,4,1947
504,2080,5,1969
576,1040,5,1996
216,1616,6,1926
273,1047,4,1885
484,1803,5,1957
528,832,6,1954
384,894,5,1966
189,1192,5,1920
772,1850,9,2004
288,899,5,1967
264,892,5,1966
506,2291,6,1910
360,2138,5,1898
470,1604,6,1997
422,2021,7,2006
308,938,5,1975
216,1426,7,1918
400,1920,5,1948
260,1098,5,1955
0,729,3,1935
528,1252,6,1959
792,1584,5,1967
592,1506,9,2008
506,1709,9,1999
299,1092,5,1957
758,1746,9,2006
667,2287,7,1953
200,789,5,1926
270,1041,5,1959
431,1908,8,2002
390,2267,6,2002
180,875,5,1931
364,1526,5,1957
714,1567,6,1977
1020,2822,9,2008
360,1378,7,1928
368,1738,4,1920
521,2060,6,1988
286,1128,5,1954
440,1720,7,2004
338,1050,5,1956
576,1114,6,2003
750,1053,5,1958
682,1593,8,2001
318,1214,5,1967
264,816,5,1982
400,1535,5,1979
795,3112,8,1918
685,1919,8,2006
672,1097,5,1994
423,1750,6,1940
288,987,6,1972
576,981,6,1971
447,1700,5,1959
308,816,5,1957
622,1840,7,2001
576,2521,6,1973
902,1002,5,1970
294,841,4,1950
564,996,6,1992
856,1713,8,2004
576,1412,6,1988
923,1236,6,1957
648,1040,4,1963
608,1616,8,1995
601,1414,6,1958
576,1950,7,1997
490,1086,5,1954
528,1576,5,1923
624,768,5,1970
676,1381,6,1972
647,2169,8,2002
287,720,3,1949
520,2792,6,1920
576,936,4,1953
588,1181,4,1972
954,1689,7,2007
280,948,4,1954
440,1512,6,2000
450,894,5,1968
644,1852,7,2009
290,845,4,1957
0,774,3,1931
666,3238,8,1995
632,1232,7,2007
528,1164,7,1969
160,1248,5,1930
572,1687,5,1948
440,1960,6,2002
286,1092,4,1970
400,894,4,1954
558,1479,7,2003
270,1060,5,1968
484,1436,7,2004
504,1044,5,1952
320,1768,7,1914
432,816,6,1930
400,1430,7,2000
303,1867,5,1955
648,1500,7,2006
312,1100,4,1960
264,816,5,1982
308,1328,5,1959
842,2296,10,2008
572,864,5,1955
453,1266,7,2005
0,858,4,1971
506,1710,6,1993
264,1123,4,1939
460,1647,6,1999
288,874,5,1968
522,1788,8,2001
416,1839,6,1957
484,1868,5,1976
588,1712,5,1959
462,1229,6,1980
890,1600,8,2007
460,1600,6,1997
240,1344,5,1936
540,1126,5,1977
264,923,5,1984
205,616,5,1921
0,1800,5,1961
505,1505,6,1953
621,1647,5,1977
451,1132,4,2005
470,1764,6,1997
240,1529,4,1945
336,2447,6,1919
457,1504,7,2005
220,1163,3,1955
440,1525,6,2000
288,935,5,1965
270,813,6,1930
230,2008,5,1948
514,2329,7,1990
282,1558,5,1950
528,1664,7,1976
522,2110,7,1968
684,1786,6,1997
336,1475,5,1977
256,1387,5,1954
380,1708,7,2004
440,1734,6,1962
520,2414,5,1900
493,1908,7,1994
506,1283,5,1962
573,1212,7,2001
672,1548,7,1925
384,980,5,1967
470,1811,6,1956
384,1056,4,1966
484,1234,8,2007
440,1302,5,1970
0,1406,6,1920
576,858,5,1982
736,2324,9,2005
414,910,5,1953
442,1611,6,1964
400,1560,6,2005
630,2020,5,1977
582,1338,8,2001
312,1188,5,1962
527,1459,7,2002
533,2260,7,1996
605,1430,7,2001
0,996,5,1940
504,1092,6,1964
625,1250,7,2006
572,1728,7,2004
280,924,5,1975
530,1199,6,1993
300,948,5,1968
429,925,5,1965
366,835,5,1920
610,2466,8,2004
487,2157,7,1966
572,1060,5,1976
804,2633,10,2001
280,1048,5,1922
460,1664,6,2000
360,784,6,1928
473,1279,6,1977
284,1229,4,1956
244,1268,5,1954
480,1428,7,2007
352,1125,6,1976
275,1008,5,1954
860,1630,8,2008
673,1728,6,2003
322,1211,5,1968
286,1040,5,1959
511,1707,8,1981
462,1632,7,1998
528,1392,5,1957
270,1319,5,1953
390,1484,6,2005
300,971,5,1969
539,1062,6,1976
0,980,6,1975
478,1405,7,2003
472,1671,6,2000
495,1074,5,1975
672,2320,5,1948
264,918,6,1979
528,1437,5,1976
440,1069,6,1977
441,1556,6,1968
510,1894,7,2002
895,1973,8,2006
564,2978,7,1967
420,848,6,2004
400,1474,7,1995
260,1056,5,1954
484,902,5,1983
564,1032,6,1978
338,1077,5,1920
480,1235,5,1961
719,1442,7,1990
264,987,6,1971
504,1004,6,1977
0,1006,5,1959
0,1716,5,1912
565,1720,7,2004
308,960,4,1920
660,1604,7,2006
621,2217,8,1970
540,1844,6,1969
380,1571,6,1993
577,1479,7,1999
529,1786,5,1965
338,1632,6,1958
578,1768,8,2007
299,1096,5,1969
542,2093,7,1986
453,1348,6,1966
410,1456,7,2005
319,1600,5,1957
544,1700,6,2003
389,1593,6,1992
288,1363,5,1951
440,1441,6,1978
866,1710,8,2007
463,2110,7,1994
475,1479,6,1976
367,767,7,1998
426,1496,7,2006
648,1567,8,2006
308,1148,5,1952
753,1970,8,2006
750,2810,8,1990
696,2630,8,1998
480,2274,5,1960
433,1261,6,1958
480,1486,5,1964
240,773,5,1953
462,1537,6,1962
546,1779,7,1998
0,1225,4,1959
420,848,6,2003
198,1376,6,1937
440,1471,6,1999
0,869,4,1923
440,1458,6,1999
440,894,5,1974
427,1718,7,1998
611,1701,5,1975
576,864,4,1972
512,1855,6,1976
616,1651,6,1986
528,1224,6,2009
288,928,5,1957
0,1092,4,1930
546,1641,7,1925
776,1416,6,1968
736,1904,8,2005
308,936,5,1956
452,1556,6,1980
400,864,4,1951
900,1654,7,2002
576,1416,5,1918
856,2365,8,1999
436,1067,4,1950
539,1902,6,1978
420,1557,7,2003
486,1839,7,1998
